EnrollmentID,StudentID,CourseID,Semester,Marks,Grade
E2573,STU1014,C114,Fall 2023,,Incomplete
E2574,STU1014,C124,Spring2023,-5.0,Incomplete
E2575,STU1212,C105,Spring 2023,-5.0,Incomplete
E2576,STU1212,C125,Fall 2022,100.0,A
E2577,STU1212,C115,Fall 2023,87.0,Incomplete
E2578,STU1212,C104,Spring 2023,-5.0,a
E2579,STU1143,C120,FALL2022,105.0,Incomplete
E2580,STU1143,C104,Spring2023,-5.0,Incomplete
E2581,STU1143,C125,Spring2023,,
E2582,STU1143,C103,Fall 2022,41.0,b
E2583,STU1039,C115,FALL2022,,C
E2584,STU1039,C111,FALL2022,,b
E2585,STU1039,C113,Fall 2023,105.0,Incomplete
E2586,STU1039,C102,FALL2022,105.0,Incomplete
E2587,STU1039,C106,Fall 2022,94.0,
E2588,STU1099,C109,Fall 2022,,a
E2589,STU1099,C116,fall 2022,41.0,C
E2590,STU1099,C119,Fall 2023,105.0,A
E2591,STU1099,C113,fall 2022,61.0,b
E2592,STU1099,C120,Fall 2023,,A
E2593,STU1165,C108,Fall 2022,77.0,F
E2594,STU1165,C121,fall 2022,61.0,
E2595,STU1165,C110,FALL2022,-5.0,
E2596,STU1195,C101,fall 2022,-5.0,b
E2597,STU1195,C123,Fall 2023,-5.0,B
E2598,STU1195,C116,Spring2023,,Incomplete
E2599,STU1195,C119,Spring2023,,C
E2600,STU1230,C112,Spring 2023,80.0,
E2601,STU1230,C114,Spring2023,58.0,F
E2602,STU1230,C107,Fall 2023,91.0,B
E2603,STU1230,C116,fall 2022,94.0,a
E2604,STU1089,C119,fall 2022,-5.0,D
E2605,STU1089,C126,fall 2022,,
E2606,STU1207,C122,FALL2022,105.0,
E2607,STU1207,C118,Fall 2022,105.0,C
E2608,STU1207,C111,Spring2023,105.0,C
E2609,STU1207,C107,Fall 2023,-5.0,F
E2610,STU1207,C114,Spring2023,105.0,b
E2611,STU1064,C117,Spring 2023,69.0,D
E2612,STU1064,C107,FALL2022,,b
E2613,STU1170,C127,Fall 2023,,F
E2614,STU1170,C103,FALL2022,105.0,D
E2615,STU1170,C121,Fall 2022,47.0,D
E2616,STU1170,C107,FALL2022,,Incomplete
E2617,STU1111,C114,fall 2022,57.0,F
E2618,STU1111,C121,Fall 2023,75.0,A
E2619,STU1111,C102,Fall 2022,71.0,A
E2620,STU1111,C107,FALL2022,,B
E2621,STU1111,C106,Fall 2023,97.0,b
E2622,STU1025,C108,Fall 2023,87.0,
E2623,STU1025,C104,FALL2022,105.0,F
E2624,STU1025,C119,fall 2022,45.0,B
E2625,STU1159,C127,Spring 2023,87.0,b
E2626,STU1159,C119,fall 2022,46.0,D
E2627,STU1159,C124,FALL2022,,A
E2628,STU1159,C113,Spring2023,74.0,a
E2629,STU1180,C116,Fall 2023,,Incomplete
E2630,STU1180,C122,Fall 2023,,A
E2631,STU1180,C108,Fall 2023,97.0,A
E2632,STU1180,C109,Spring2023,90.0,F
E2633,STU1180,C126,Spring2023,,B
E2634,STU1177,C115,Fall 2022,,F
E2635,STU1177,C113,Spring 2023,92.0,F
E2636,STU1177,C101,Fall 2023,96.0,Incomplete
E2637,STU1134,C126,FALL2022,,B
E2638,STU1134,C125,Fall 2023,-5.0,a
E2639,STU1134,C121,Fall 2023,67.0,C
E2640,STU1134,C114,FALL2022,56.0,a
E2641,STU1133,C115,Fall 2023,81.0,Incomplete
E2642,STU1133,C123,Fall 2023,-5.0,D
E2643,STU1133,C101,Fall 2022,105.0,B
E2644,STU1133,C125,Spring2023,105.0,C
E2645,STU1087,C126,fall 2022,56.0,a
E2646,STU1087,C111,Spring 2023,-5.0,a
E2647,STU1087,C115,Fall 2022,-5.0,D
E2648,STU1087,C116,Fall 2022,105.0,D
E2649,STU1087,C124,Fall 2022,,C
E2650,STU1172,C120,Fall 2022,105.0,B
E2651,STU1172,C114,Fall 2023,-5.0,Incomplete
E2652,STU1172,C109,Spring 2023,47.0,D
E2653,STU1172,C105,Fall 2023,,F
E2654,STU1172,C103,Spring 2023,64.0,b
E2655,STU1058,C127,FALL2022,-5.0,C
E2656,STU1058,C110,fall 2022,90.0,F
E2657,STU1058,C124,fall 2022,-5.0,D
E2658,STU1145,C103,Fall 2023,65.0,b
E2659,STU1145,C101,Fall 2022,105.0,F
E2660,STU1145,C116,fall 2022,46.0,A
E2661,STU1145,C105,Spring2023,-5.0,a
E2662,STU1145,C111,Fall 2022,105.0,A
E2663,STU1229,C117,Spring2023,,C
E2664,STU1229,C120,Spring 2023,77.0,F
E2665,STU1229,C113,Spring 2023,,Incomplete
E2666,STU1229,C110,Spring 2023,105.0,b
E2667,STU1148,C104,FALL2022,,a
E2668,STU1148,C111,Spring2023,,F
E2669,STU1148,C102,Fall 2023,67.0,a
E2670,STU1148,C105,Fall 2023,88.0,
E2671,STU1191,C102,Fall 2023,,C
E2672,STU1191,C107,Fall 2022,69.0,Incomplete
E2673,STU1191,C105,FALL2022,105.0,Incomplete
E2674,STU1191,C108,fall 2022,47.0,B
E2675,STU1191,C106,Spring 2023,,C
E2676,STU1135,C119,FALL2022,105.0,C
E2677,STU1135,C122,Fall 2023,44.0,Incomplete
E2678,STU1135,C107,fall 2022,,A
E2679,STU1135,C101,fall 2022,83.0,b
E2680,STU1219,C127,Fall 2023,49.0,Incomplete
E2681,STU1219,C111,Spring2023,-5.0,F
E2682,STU1181,C111,Fall 2023,-5.0,a
E2683,STU1181,C102,Spring 2023,105.0,C
E2684,STU1004,C126,Spring2023,58.0,B
E2685,STU1004,C121,FALL2022,-5.0,B
E2686,STU1081,C106,FALL2022,41.0,C
E2687,STU1081,C108,Fall 2022,,C
E2688,STU1081,C125,Fall 2023,-5.0,F
E2689,STU1081,C113,fall 2022,,B
E2690,STU1168,C116,Fall 2022,105.0,b
E2691,STU1168,C115,FALL2022,,C
E2692,STU1168,C113,Spring2023,80.0,A
E2693,STU1067,C115,Spring2023,85.0,Incomplete
E2694,STU1067,C122,fall 2022,105.0,B
E2695,STU1067,C108,fall 2022,69.0,Incomplete
E2696,STU1067,C121,Spring2023,,D
E2438,STU1122,C126,Spring2023,90.0,A
E2303,STU1022,C120,Spring 2023,79.0,F
E2583,STU1039,C115,FALL2022,,C
E2049,STU1224,C116,Fall 2023,105.0,F
E2565,STU1173,C116,FALL2022,68.0,
E2079,STU1036,C114,Spring2023,105.0,b
E2047,STU1190,C108,fall 2022,71.0,F
E2526,STU1164,C118,fall 2022,40.0,F
E2111,STU1035,C127,Spring2023,47.0,Incomplete
E2523,STU1164,C109,Spring2023,-5.0,F
E2436,STU1122,C114,Fall 2022,-5.0,a
E2423,STU1007,C127,Fall 2023,64.0,F
E2097,STU1175,C127,fall 2022,-5.0,A
E2476,STU1142,C103,Spring 2023,89.0,b
E2677,STU1135,C122,Fall 2023,44.0,Incomplete
E2260,STU1119,C110,Spring2023,48.0,A
E2364,STU1223,C111,FALL2022,-5.0,a
E2261,STU1119,C115,Spring2023,105.0,D
E2600,STU1230,C112,Spring 2023,80.0,
E2084,STU1131,C109,Spring2023,100.0,D
