AttendanceID,StudentID,CourseID,Date,AttendanceStatus
A3617,STU1062,C108,01-Dec-2024,Absent
A3618,STU1062,C116,2023-06-23,ABSENT
A3619,STU1062,C104,10-16-2023,Absent
A3620,STU1062,C120,2023-12-08,A
A3621,STU1062,C103,2023/02/14,present
A3622,STU1089,C114,06-27-2024,present
A3623,STU1089,C122,11/03/2024,P
A3624,STU1089,C120,10-21-2023,Absent
A3625,STU1089,C109,05-26-2024,P
A3626,STU1119,C126,2023-03-20,present
A3627,STU1119,C125,02/11/2024,A
A3628,STU1119,C105,04-Feb-2024,late 
A3629,STU1119,C127,2023-03-10,Late
A3630,STU1119,C124,13/10/2023,Absent
A3631,STU1119,C111,11/05/2023,Late
A3632,STU1119,C112,23-Nov-2023,Late
A3633,STU1119,C116,11-Dec-2024,A
A3634,STU1109,C126,31/10/2024,Late
A3635,STU1109,C114,16-Jul-2024,late 
A3636,STU1109,C118,03/07/2024,Late
A3637,STU1109,C103,17-Aug-2024,ABSENT
A3638,STU1093,C103,08-29-2023,Present
A3639,STU1093,C107,01-18-2023,late 
A3640,STU1093,C105,2023-04-23,A
A3641,STU1093,C112,05-23-2023,late 
A3642,STU1093,C105,18-Jul-2024,ABSENT
A3643,STU1093,C107,2023-08-18,present
A3644,STU1093,C104,13/12/2024,Late
A3645,STU1093,C124,27-Jan-2023,A
A3646,STU1144,C123,2023/04/19,Absent
A3647,STU1144,C116,31/08/2024,Present
A3648,STU1144,C105,10/01/2024,Absent
A3649,STU1215,C103,2023/01/13,Late
A3650,STU1215,C105,06-Jul-2023,present
A3651,STU1215,C124,06-24-2024,late 
A3652,STU1215,C114,12-Dec-2023,Present
A3653,STU1207,C104,2023-06-09,Present
A3654,STU1207,C120,2023/06/27,present
A3655,STU1207,C101,10-Feb-2024,late 
A3656,STU1207,C118,12-29-2024,P
A3657,STU1207,C123,21-Aug-2023,present
A3658,STU1115,C103,18-Jun-2024,present
A3659,STU1115,C124,05-Aug-2023,Present
A3660,STU1115,C108,06/02/2024,Absent
A3661,STU1115,C127,10-Dec-2024,late 
A3662,STU1115,C111,30-Oct-2024,Late
A3663,STU1061,C102,16-Jan-2024,ABSENT
A3664,STU1061,C109,2023-04-22,Absent
A3665,STU1061,C112,09-09-2024,Present
A3666,STU1061,C108,16/10/2023,Absent
A3667,STU1006,C107,2024-09-03,P
A3668,STU1006,C107,18/07/2024,Present
A3669,STU1006,C108,2023-10-03,Present
A3670,STU1211,C126,2024-05-10,Present
A3671,STU1211,C111,04-06-2023,Present
A3672,STU1211,C112,17-Oct-2023,ABSENT
A3673,STU1211,C111,02-05-2024,present
A3674,STU1211,C123,2024-11-21,A
A3675,STU1211,C114,2024-05-30,present
A3676,STU1211,C101,24-Aug-2024,late 
A3677,STU1125,C102,25/10/2023,present
A3678,STU1125,C122,2024-04-19,Absent
A3679,STU1125,C123,26/08/2023,present
A3680,STU1125,C125,2023/06/14,A
A3681,STU1125,C115,05-15-2023,P
A3682,STU1125,C112,30-Sep-2024,Present
A3683,STU1125,C123,30-Nov-2024,ABSENT
A3684,STU1204,C120,2024-09-13,present
A3685,STU1204,C119,04-Oct-2024,Absent
A3686,STU1204,C126,16/01/2023,P
A3687,STU1204,C118,31-Mar-2023,Absent
A3688,STU1218,C111,06-23-2023,present
A3689,STU1218,C103,2023/10/14,A
A3690,STU1218,C112,2023-04-02,present
A3691,STU1218,C123,04-16-2024,late 
A3692,STU1218,C109,28/03/2024,Absent
A3693,STU1218,C119,2024-05-14,A
A3694,STU1120,C113,2024/02/23,present
A3695,STU1120,C115,2024/01/11,A
A3696,STU1120,C112,27-Mar-2023,late 
A3697,STU1120,C109,2024-11-29,Present
A3698,STU1120,C124,2023/09/08,Present
A3699,STU1073,C104,25-Oct-2023,present
A3700,STU1073,C119,2024-02-13,ABSENT
A3701,STU1073,C113,2024-04-18,A
A3702,STU1073,C115,2024/04/24,late 
A3703,STU1194,C103,2023-07-04,Late
A3704,STU1194,C125,19/03/2024,Late
A3705,STU1194,C111,03-08-2023,A
A3706,STU1184,C116,06-Aug-2023,Absent
A3707,STU1184,C109,2024-04-10,present
A3708,STU1184,C116,30/05/2023,A
A3709,STU1184,C119,2023/02/02,Late
A3710,STU1184,C102,06-Jan-2024,late 
A3711,STU1184,C107,25/02/2023,Present
A3712,STU1184,C125,01-Dec-2024,P
A3713,STU1159,C121,2023-06-30,present
A3714,STU1159,C103,08-Oct-2023,Absent
A3715,STU1159,C110,30-Dec-2024,Late
A3716,STU1159,C117,08-08-2023,present
A3717,STU1159,C127,2023-02-25,Late
A3718,STU1196,C125,01/11/2023,ABSENT
A3719,STU1196,C112,05-Mar-2024,late 
A3720,STU1196,C118,06/12/2024,Late
A3721,STU1196,C112,2024/12/10,Late
A3722,STU1196,C127,2023/01/11,ABSENT
A3723,STU1127,C124,2024/11/14,present
A3724,STU1127,C111,11-11-2024,Present
A3725,STU1127,C105,14/04/2024,late 
A3726,STU1050,C104,21-Nov-2024,P
A3727,STU1050,C117,04-Jan-2023,present
A3728,STU1050,C121,2024/04/05,Absent
A3729,STU1050,C102,12/08/2023,Late
A3730,STU1050,C123,13/07/2024,Late
A3731,STU1208,C112,03/08/2023,Present
A3732,STU1208,C112,2024-01-08,P
A3733,STU1208,C110,2024-05-29,late 
A3734,STU1208,C121,11-Apr-2024,Late
A3735,STU1169,C112,09-Jul-2024,A
A3736,STU1169,C104,30-Jun-2023,Late
A3737,STU1169,C112,2023/07/01,present
A3738,STU1169,C118,22-Mar-2024,P
A3739,STU1169,C122,06-Dec-2024,P
A3740,STU1028,C120,2023-04-12,Absent
A3741,STU1028,C103,2024-10-27,Late
A3742,STU1028,C104,2024/05/23,Absent
A3743,STU1028,C121,2024/03/30,Present
A3744,STU1028,C122,24-Oct-2023,ABSENT
A3745,STU1028,C108,2024/04/10,Late
A3746,STU1028,C104,20-Jul-2023,Absent
A3747,STU1028,C112,20-Apr-2024,Late
A3748,STU1163,C112,2023/08/18,P
A3749,STU1163,C109,11-05-2024,P
A3750,STU1163,C127,29/02/2024,Present
A3751,STU1068,C102,2023-01-16,present
A3752,STU1068,C126,2024/01/19,A
A3753,STU1068,C111,2023/06/24,Late
A3754,STU1068,C108,23-Jul-2024,ABSENT
A3755,STU1068,C120,21-Oct-2024,Present
A3756,STU1068,C126,14-Aug-2024,present
A3757,STU1202,C113,27-Jun-2023,A
A3758,STU1202,C117,12-Jun-2023,ABSENT
A3759,STU1202,C104,28/12/2024,Absent
A3760,STU1202,C121,13-Aug-2024,P
A3761,STU1202,C127,20/07/2024,A
A3762,STU1202,C107,2023-04-06,Present
A3763,STU1202,C114,2023/01/12,present
A3764,STU1202,C101,2024/09/24,Absent
A3765,STU1178,C113,26/01/2023,late 
A3766,STU1178,C121,10-08-2024,present
A3767,STU1178,C108,30/10/2024,P
A3768,STU1178,C107,02/07/2024,Late
A3769,STU1178,C125,2023-09-24,P
A3770,STU1178,C103,2023-05-28,Absent
A3771,STU1178,C104,2024/04/15,Absent
A3772,STU1162,C105,10-17-2023,present
A3773,STU1162,C103,21-Mar-2023,A
A3774,STU1162,C127,01-Aug-2023,Absent
A3775,STU1221,C126,23-Jan-2023,Absent
A3776,STU1221,C116,2024-10-02,ABSENT
A3777,STU1221,C122,05-Mar-2024,A
A3778,STU1221,C121,06/04/2024,present
A3779,STU1221,C110,11/01/2023,Present
A3780,STU1221,C104,12-18-2023,late 
A3781,STU1017,C120,2024-07-13,present
A3782,STU1017,C117,2023-09-18,ABSENT
A3783,STU1017,C120,2023/01/31,Present
A3784,STU1017,C117,08/06/2024,ABSENT
A3785,STU1017,C112,28/04/2023,Present
A3786,STU1017,C111,22/05/2023,Absent
A3787,STU1017,C124,09/12/2024,P
A3788,STU1019,C116,2023-07-24,A
A3789,STU1019,C123,07-18-2024,late 
A3790,STU1019,C124,22-May-2024,Late
A3791,STU1019,C107,14/09/2023,ABSENT
A3792,STU1019,C122,15-Oct-2023,Absent
A3793,STU1131,C126,08-24-2024,present
A3794,STU1131,C126,30-Jul-2023,Late
A3795,STU1131,C115,2024/03/09,P
A3796,STU1131,C127,2023/11/23,Absent
A3797,STU1131,C120,28-Jan-2024,ABSENT
A3798,STU1131,C119,12-28-2023,Absent
A3799,STU1131,C115,2023-06-21,P
A3800,STU1008,C114,2023/10/28,A
A3801,STU1008,C113,2023-01-31,present
A3802,STU1008,C126,27-Nov-2023,present
A3803,STU1008,C112,2023-09-09,ABSENT
A3804,STU1008,C122,01-16-2024,present
A3805,STU1008,C125,2023-11-18,Present
A3806,STU1008,C111,2024-12-05,A
A3807,STU1214,C115,08-04-2024,ABSENT
A3808,STU1214,C118,09-Mar-2023,P
A3809,STU1214,C120,2023/08/06,ABSENT
A3810,STU1214,C104,07-28-2024,Absent
A3811,STU1045,C121,07-Mar-2024,A
A3812,STU1045,C127,24/11/2023,ABSENT
A3813,STU1045,C102,20-May-2024,Present
A3814,STU1045,C109,2024-03-07,Absent
A3815,STU1045,C115,2023/06/25,A
A3816,STU1045,C119,28/01/2024,Present
A3817,STU1045,C110,2023/01/19,Present
A3818,STU1114,C110,15-May-2023,Present
A3819,STU1114,C118,2024-06-24,A
A3820,STU1114,C121,2023-01-17,late 
A3821,STU1114,C104,03-01-2024,P
A3822,STU1114,C111,21-Dec-2023,Absent
A3823,STU1114,C118,17-Nov-2023,Present
A3824,STU1056,C110,14-Dec-2024,late 
A3825,STU1056,C121,05-05-2023,Absent
A3826,STU1056,C101,2023-08-18,Present
A3827,STU1056,C105,04-18-2023,Late
A3828,STU1056,C108,2023-06-24,ABSENT
A3829,STU1056,C124,2024/01/13,Present
A3830,STU1173,C102,2023-09-23,Absent
A3831,STU1173,C102,2023-11-08,P
A3832,STU1173,C111,2024/12/05,Late
A3833,STU1173,C109,16/12/2024,present
A3834,STU1173,C119,2024-04-16,present
A3835,STU1173,C111,2023/06/01,Late
A3836,STU1173,C121,2024-04-02,ABSENT
A3837,STU1173,C119,04-May-2024,P
A3330,STU1229,C103,2023-07-17,present
A3792,STU1019,C122,15-Oct-2023,Absent
A3749,STU1163,C109,11-05-2024,P
A3495,STU1111,C112,2024/04/24,P
A3232,STU1132,C107,08/12/2023,A
A3095,STU1051,C118,06-22-2023,present
A3271,STU1161,C120,29-Jun-2023,ABSENT
A3785,STU1017,C112,28/04/2023,Present
A3304,STU1126,C104,26/08/2023,Absent
A3729,STU1050,C102,12/08/2023,Late
